"Time [min]","Event Name","Chamber","Event Text","1A: O2 concentration [µM]","1A: O2 flux per mass [pmol/(s*mg)]","1B: O2 concentration [µM]","1B: O2 flux per mass [pmol/(s*mg)]","1A: Amp [µM]","1A: Amp flux per mass [pmol/(s*mg)]","1B: Amp [nM]","1B: Amp flux per mass [fmol/(s*mg)]"
84.50,"","","",186.0961,17.3626,184.9848,13.4974,50.8701,-158691.0479,1702.4314,-304.7202
84.53,"","","",186.0771,17.9052,184.9880,13.3386,44.7863,-156438.3404,1702.8816,-297.7947
84.57,"","","",186.0617,18.6286,184.9530,13.1799,45.4894,-153384.9890,1701.7735,-290.8693
84.60,"","","",186.0020,19.3520,184.9268,13.0211,39.8648,-149530.9939,1702.0852,-283.9438
84.63,"","","",185.9432,20.0755,184.9348,12.7035,38.7313,-144870.6156,1702.3622,-277.0184
84.67,"","","",185.8989,20.7989,184.9443,12.7035,39.1043,-139409.5934,1702.1544,-270.0929
84.70,"","","",185.8935,21.5224,184.9435,12.5447,38.5304,-133136.4487,1700.7347,-263.1674
84.73,"","","",185.8691,22.2458,184.8887,12.5447,40.7257,-126048.3117,1702.9508,-249.3165
84.77,"","","",185.8492,22.7884,184.8069,12.8623,27.0660,-118188.2278,1702.4314,-235.4656
84.80,"","","",185.8130,23.3310,184.7720,13.1799,34.5702,-109498.8031,1701.0810,-228.5401
84.83,"","","",185.8049,23.8735,184.8316,13.1799,27.1521,-100028.8225,1698.3800,-228.5401
84.87,"","","",185.6909,24.5970,184.8784,13.0211,26.1764,-89743.8496,1698.6571,-228.5401
84.90,"","","",185.7723,25.1396,184.8443,12.7035,47.1538,-78563.5331,1697.2373,-228.5401
84.93,"","","",185.8013,25.5013,184.7871,12.5447,236.6969,-65888.1075,1698.6224,-228.5401
84.97,"","","",185.9903,24.9587,184.7363,12.5447,272.9698,-52317.3384,1699.5920,-228.5401
85.00,"","","",186.0979,23.8735,184.7299,12.7035,271.4345,-37991.8404,1700.9425,-221.6147
85.03,"","","",186.1575,22.6075,184.7418,12.8623,263.7437,-22923.0925,1700.8386,-214.6892
85.07,"","","",186.2019,21.3415,184.7728,13.0211,266.4269,-7073.7885,1700.3538,-214.6892
85.10,"","","",186.2109,19.5329,184.7490,13.0211,267.7757,2858.2123,1702.2237,-207.7638
85.13,"","","",186.1503,18.0860,184.6942,13.1799,265.1068,3638.7683,1699.9383,-200.8383
85.17,"","","",186.0762,16.6391,184.6370,13.3386,261.1180,4258.6216,1700.3538,-193.9128
85.20,"","","",186.0454,15.1923,184.6299,13.1799,260.2571,4803.8629,1700.3884,-186.9874
85.23,"","","",186.0309,13.7454,184.6601,13.0211,255.5938,5277.3619,1700.7001,-180.0619
85.27,"","","",185.9722,12.4794,184.6370,13.1799,259.2527,5719.2944,1701.4619,-166.2110
85.30,"","","",185.9559,11.5750,184.6354,13.3386,257.7317,6121.0511,1701.0463,-159.2856
85.33,"","","",185.9360,10.8516,184.6204,13.8150,255.6656,6471.1534,1700.5962,-145.4346
85.37,"","","",185.9360,10.3090,184.6029,14.1326,250.5575,6781.0801,1700.5616,-138.5092
85.40,"","","",185.9071,9.4047,184.6045,14.1326,251.6336,7056.5704,1699.7998,-131.5837
85.43,"","","",185.8564,8.6813,184.5807,13.9738,248.5774,7277.5366,1701.0463,-117.7328
85.47,"","","",185.8438,7.9578,184.5171,14.1326,243.1250,7423.8909,1698.6571,-124.6583
85.50,"","","",185.8031,7.4153,184.5449,14.2914,243.7276,7541.5482,1699.8690,-117.7328
85.53,"","","",185.7624,7.0535,184.5640,14.6090,243.3833,7627.6389,1698.9341,-117.7328
85.57,"","","",185.7443,6.5110,184.5148,14.7678,242.7806,7662.0752,1699.6266,-117.7328
85.60,"","","",185.7063,6.5110,184.4417,15.0854,238.1461,7630.5086,1699.1765,-103.8819
